id,happy_company_id,company_name,customer_type,taxable,region,business_phone,cell_phone,fax,customer_geocode,customer_lat,customer_long,customer_street1,customer_street2,customer_city,customer_state,customer_country,customer_zipcode,customer_county,user_id,user_id_update,active,created_at,updated_at,lock_version,company_name_normalized
3,1,Cherokee Nation,,f,,918-555-5555,"","",,,,855 Markoma Dr,"",Tahlequah,OK,,74464,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,cherokee nation
4,1,Cherokee Nation Public Health,,t,,918-261-6265,"","",,,,100 S. Cherokee Ave.,"",Catoosa,OK,,74015,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,cherokee nation public health
5,1,Cherokee Nation Tahlequah Wellness Center,,t,,918-555-5555,"","",,,,22685 Betty Sharp Smith St.,"",Tahlequah,OK,,74464,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,cherokee nation tahlequah wellness center
7,1,CITY OF EL RENO,,f,,405-262-4070,405-262-4070 x 2003,"",,,,City of El Reno ,1300 East Elm Street,El Reno,OK,,73036,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,city of el reno
8,1,City of Foreman,,t,,307-680-2091,307-680-2091,"",,,,147 Little River 167,"",Foreman,AR,,71836,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,city of foreman
9,1,City of Oklahoma City,,f,,405-555-5555,"","",,,,200 N. Walker Ave.,"",Oklahoma City,OK,,73102,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,city of oklahoma city
10,1,"City of Texarkana, AR",,t,,870-779-4943,"","",,,,216 Walnut Street,"",Texarkana,AR,,71854,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,city of texarkana ar
11,1,City of Vinita,,t,,918-xxx-xxxx,"","",,,,"North Park, 224 W. Sequoyah Ave, ","",Vinita,OK,,74301,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,city of vinita
12,1,Cushing Public Schools,,f,,918-625-2148,"","",,,,1401 N. Little Ave.,"",Cushing,OK,,74023,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,cushing public schools
13,1,Deborah Brown Community School,,f,,918-855-5884,"","",,,,2 S. Elgin,"",Tulsa,OK,,74120,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,deborah brown community school
14,1,Deer Creek Elementary,,f,,4053489100,4055208877,"",,,,4704 nw 164th,"",edmond,OK,,73013,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,deer creek elementary
15,1,Easter Oklahoma Head Start,,f,,918-316-1029,"","",,,,26106 E. 863 Rd,"",Welling,OK,,74471,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,easter oklahoma head start
17,1,Fort Smith Public Schools,,t,,479-785-2501,"","",,,,3205 Jenny Lind Rd,"",Fort Smith,AR,,72901,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,fort smith public schools
18,1,Good Shepherd First Baptist Church,,t,, (580) 884-1305,"","",,,,602 S. Grand,"",Cherokee,OK,,73728,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,good shepherd first baptist church
19,1,Greenshade Trees LLC,,t,,405.234.6478,"","",,,,1905 South Nicklas Avenue,"",Oklahoma City,OK,,73128,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,greenshade trees llc
20,1,Ideal Construction,,t,,501208-2560,"","",,,,"803 West First Ave. Crossett, AR 71635","",Crossett,AR,,71635,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,ideal construction
21,1,Lamar Elementary School,,f,,417-682-3567,"","",,,,600 Walnut St.,"",Lamar,MO,,64759,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,lamar elementary school
22,1,LeFlore Public Schools,,f,,918-753-2345,"","",,,,P.O. Box 147,"",Le Flore,OK,,74942,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,leflore public schools
24,1,Osage Nation,,f,,918-287-5344,"","",,,,1071 Grandview Lane,"",Pawhuska,OK,,74056,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,osage nation
25,1,Planning Design Group,,t,,918-628-1255,"","",,,,"5314 S. Yale Ave,",Suite 510,Tulsa,OK,,74135,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,planning design group
26,1,Raymond Orr Elementary School,,t,,479-200-6221,"","",,,,3609 Phoenix Ave,"",Fort Smith,AR,,72903,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,raymond orr elementary school
27,1,Temple Israel Tulsa,,t,,9188100012,"","",,,,2004 E. 22nd Pl.,"",Tulsa,OK,,74114,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,temple israel tulsa
28,1,Tulsa Children's Coalition,,t,,918-549-8691,"","",,,,5330 East 31st Street,"",Tulsa,OK,,74135,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,tulsa children s coalition
29,1,Tulsa County Parks,,f,,918-698-1489,"","",,,,218 W. 6th St.,"",Tulsa,OK,,74119,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,tulsa county parks
31,1,Tyson Foods,,t,,580-616-4851,"","",,,,201 S. Raleight Rd.,"",Enid,OK,,73701,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,tyson foods
32,1,U.S. Army Corps of Engineers,,f,,918-799-5843,"","",,,,102 E. BK 200 Road,"",Stigler,OK,,74462,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,u s army corps of engineers
33,1,Washington Elementary School,,f,,405-288-6190,"","",,,,201 Kerby Avenue,"",Washington,OK,,73093,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,washington elementary school
34,1,Woodridge Estates,,t,,479-409-1932,"","",,,,652 Aspen Ridge,"",Springdale,AR,,72764,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,woodridge estates
35,1,Zaneis Public Schools,,f,,580 668 2955,"","",,,,30515 US-70 W,"",Wilson,OK,,73463,,,,t,2025-12-13 20:22:00.438122,2025-12-13 20:22:00.438122,0,zaneis public schools
36,1,AAA Playgrounds,,t,,405-822-1109,"","",,,,3701 Spring Hill Dr.,"",Edmond,OK,,73013,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,aaa playgrounds
38,1,Abiding Harvest Methodist Church,,f,,(918) 449-1970,"","",,,,4407 S. Olive Ave.,"",Broken Arrow,OK,,74011,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,abiding harvest methodist church
39,1,Absentee Shawnee Tribe of Indians of Oklahoma,,t,,918.431.9905,"","",,,,2025 S. Gordon Cooper Dr.,"",Shawnee,OK,,74801,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,absentee shawnee tribe of indians of oklahoma
40,1,Absentee Tribe Youth Camp,,f,,405-313-8313,"","",,,,19740 Alameda St.,"",Norman,OK,,73026,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,absentee tribe youth camp
41,1,Access Academy,,t,,501-590-5150,"","",,,,1500 N. Mississippi St.,"",Little Rock,AR,,72207,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,access academy
43,1,"ACS Playground Adventures, Inc.",,f,,405-834-5056,"","",,,,8501 Mantle Ave.,"",Oklahoma City,OK,,73132,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,acs playground adventures inc
44,1,Action Services --Center for Exceptional Children,,t,,501-215-7508,"","",,,,1008 W Childress St,"",Morrilton,AR,,72110,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,action services center for exceptional children
45,1,Ada City Schools - ACS12E,,t,,580-310-7200,"","",,,,324 W. 20th St.,"",Ada,OK,,74820,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,ada city schools acs12e
46,1,Agape Child Care Center,,t,,918-341-0870,"","",,,,23905 S. Hwy 66,"",Claremore,OK,,74019,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,agape child care center
47,1,Agra Public Schools,,f,,405-332-6523,"","",,,,112 S. Main,"",Agra,OK,,74824,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,agra public schools
49,1,Alba Griffin LLC,,f,,405-735-3477,"","",,,,313 SE 5th Street,"",Moore,OK,,73160,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,alba griffin llc
50,1,Allison Landscape & Pools,,t,,903-818-4887,"","",,,,112 Seymore Bradley Rd.,"",Denison,TX,,75020,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,allison landscape pools
51,1,All Souls Unitarian Church,,t,,(918) 743-2363,"","",,,,2952 S Peoria Ave,"",Tulsa,OK,,74114,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,all souls unitarian church
53,1,Altus Parks and Rec,,t,,580-301-3123,"","",,,,601 Katy Drive,"",Altus,OK,,73522,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,altus parks and rec
54,1,Alva Public Schools,,f,,580-327-4823,580-327-4823,"",,,,418 Flynn Street,"",Alva,OK,,73717,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,alva public schools
55,1,Anderson Public Schools,,f,,918-740-5226,"","",,,,2195 Anderson Rd.,"",Sand Springs,OK,,74063,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,anderson public schools
56,1,Angels and Outlaws Daycare,,t,,580-721-0509,"","",,,,807 S 9th St,"",Marlow,OK,,73055,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,angels and outlaws daycare
58,1,Apache Parks & Recreaton,,t,,740-972-2203,"","",,,,114 East Evans,"",Apache,OK,,73006,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,apache parks recreaton
59,1,Arch Ford Educational Cooperative,,t,,501-428-1341,"","",,,,101 Bulldog Dr.,"",Plumerville,AR,,72127,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,arch ford educational cooperative
60,1,Ardmore Youth Club,,t,,214-244-4809,"","",,,,2400 Chickasaw Blvd.,"",Ardmore,OK,,73401,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,ardmore youth club
61,1,Aristocrat Gaming,,t,,918-413-1695,"","",,,,15336 E. Admiral Pl.,"",Tulsa,OK,,74116,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,aristocrat gaming
63,1,Arkansas Early Learning,,t,,870-931-1172,"","",,,,1901 Woodsprings Rd.,"",Jonesboro,AR ,,72401,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,arkansas early learning
64,1,Arkansas State Parks,,t,,479-890-7477,"","",,,,"Arkansas Dept of Parks, Heritage & Tourism",1100 N Street,Little Rock,AR,,72201,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,arkansas state parks
65,1,Arkla Park,,t,,9035593631,"","",,,,101 Arkla Circle,"",Emmet,AR,,71835,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,arkla park
66,1,Armstrong Berger,,t,,469-995-0500,"","",,,,2611 State Street,"",Dallas,TX,,75204,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,armstrong berger
67,1,ARSC Federal,,t,,973-439-2825,"","",,,,1487 Highway 177 S,"",Mountain Home,AR,,72653,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,arsc federal
68,1,Ashdown Public Schools,,t,,903 278-7614,"","",,,,1323 Foster St,"",Ashdown,AR,,71822,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,ashdown public schools
69,1,Aspen Creek Elementary School,,f,,330-327-9492,"","",,,,2800 W. Florence St.,"",Broken Arrow,OK,,74011,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,aspen creek elementary school
70,1,ASRC Federal,,t,,973-439-2825,"","",,,,817 Highway 101,"",Mountain Home,AR,,72653,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,asrc federal
72,1,Atkins Elementary School,,t,,479-970-7817,"","",,,,611 NW 4th St.,"",Atkins,AR,,72823,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,atkins elementary school
73,1,Atlas Paving Company,,t,,405-520-0310,"","",,,,3800 NW 8th St,"",Oklahoma City,OK,,73107,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,atlas paving company
74,1,Aurora POA,,t,,479-841-9435,"","",,,,6807 SW Ambient St.,"",Bentonville,AR,,72713,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,aurora poa
75,1,Bailey Booster Club,,t,,417-239-6981,"","",,,,10221 E 96th St N,"",Owasso,OK,,74055,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bailey booster club
76,1,Bald Knob School District,,t,,870-613-2736,"","",,,,103 W. Park Street,"",Bald Knob,AR,,72010,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bald knob school district
77,1,Banner Public Schools,,t,,405-596-7190,"","",,,,2455 N. Banner Road,"",El Reno,OK,,73036,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,banner public schools
78,1,BAPS: Rosewood Elementary,,t,,918-555-5555,"","",,,,4300 E. Gary St.,"",Broken Arrow,OK,,74014,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,baps rosewood elementary
79,1,Barnard Elementary,,f,,405-598-3169,"","",,,,315 E. Locust St.,"",Techumseh,OK,,74873,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,barnard elementary
81,1,Barre Commercial Playgrounds,,t,,501-772-4020,"","",,,,41 Lieblong Rd.,"",Greenbrier,AR,,72058,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,barre commercial playgrounds
82,1,Barron Facility Services,,t,,817-829-2473,"","",,,,6221 Southwest Blvd.,"",Fort Worth,TX,,78657,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,barron facility services
83,1,Batesville School District (Sulphur Rock Elementary),,t,,870-793-9878,870-793-9878,"",,,,480 N Main St,"",Sulphur Rock,AR,,72579,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,batesville school district sulphur rock elementary
84,1,Batesville School District (West Elementary),,t,,8708347863,8708347863,"",,,,850 N Hill St,"",Batesville,AR,,72501,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,batesville school district west elementary
85,1,Battlefield State Park,,t,,479-287-5938,"","",,,,506 E. Douglas,"",Prairie Grove,AR,,72753,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,battlefield state park
86,1,Beacon Construction,,t,,405-403-2003,"","",,,,2425 S. Bryant,"",Edmond,OK,,73034,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,beacon construction
88,1,Bearden School District,,f,,918-623-0156,"","",,,,"372006, OK-48","",Okemah,OK,,74859,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bearden school district
89,1,Beggs Elementary,,t,,918-267-4916,"","",,,,1201 West 9th,"",Beggs,OK,,74421,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,beggs elementary
90,1,Bellevue Health and Rehabilition,,t,,405-507-1682,"","",,,,6500 N. Portland Ave,"",Oklahoma City,OK,,73116,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bellevue health and rehabilition
91,1,B.E.N. Construction,,f,,918-894-9333,"","",,,,701 S. 11th St.,"",Broken Arrow,OK,,74012,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,b e n construction
93,1,Bentonville Animal Services,,t,,479-696-0277,"","",,,,801 SW. 41st St.,"",Bentonville,AR,,72712,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bentonville animal services
94,1,Bentonville Preparatory School,,t,,479-871-3827,"","",,,,211 SE 34th St #13,"",Bentonville,AR,,72712,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bentonville preparatory school
95,1,Berryhill Elementary School,,f,,918-445-6023,"","",,,,2900 1/2 S. 65th West Ave.,"",Tulsa,OK,,74107,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,berryhill elementary school
96,1,Bethany Community School,,t,,918-346-7004,"","",,,,6730 S. Sheridan Rd.,"",Tulsa,OK,,74136,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bethany community school
98,1,Bethel Acres Community Center,,t,,405-226-1946,"","",,,,18101 Bethel Road,"",Shawnee,OK,,74801,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bethel acres community center
99,1,Bethel Acres Community Park,,f,,405-788-2877,"","",,,,5 Cheyenne Dr.,"",Shawnee,OK,,74801,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bethel acres community park
100,1,Beth Haven Baptist Church,,f,,405-979-0500,"","",,,,12400 S. Western Ave.,"",Oklahoma City,OK,,73170,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,beth haven baptist church
101,1,Big C Construction,,f,,918-521-9175,"","",,,,P.O. Box 831,"",Skiatook,OK,,74070,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,big c construction
104,1,Bixby East Intermediate School,,f,,918-231-2551,"","",,,,11901 East 131st St S,"",Broken Arrow,OK,,74011,,,,t,2025-12-13 20:22:47.116955,2025-12-13 20:22:47.116955,0,bixby east intermediate school
